id,wine_id,food_id
1,1,5
2,1,9
3,1,4
4,1,10
5,2,14
6,2,21
7,2,24
8,3,9
9,3,13
10,4,71
11,5,14
12,5,22
13,5,6
14,5,47
15,35,2
16,36,7
17,37,21
18,37,22
19,38,17
20,38,18
21,38,23
22,6,7
23,6,40
24,6,50
25,42,36
26,42,2
27,42,22
28,42,5
29,43,7
30,43,2
31,44,10
32,44,56
33,44,15
34,45,48
35,45,16
36,46,38
37,46,36
38,47,46
39,47,6
40,48,10
41,48,56
42,48,5
43,49,51
44,49,5
45,50,22
46,51,2
47,51,56
48,51,10
49,41,36
50,41,2
51,41,22
52,41,5
53,40,7
54,40,20
55,40,61
56,39,25
57,39,24
58,39,21
59,18,9
60,18,61
61,18,51
62,19,24
63,19,13
64,20,5
65,20,54
66,20,53
67,21,1
68,21,2
69,21,3
70,22,26
71,22,22
72,22,40
73,22,62
74,23,21
75,23,3
76,24,66
77,24,5
78,25,5
79,25,9
80,26,61
81,26,2
82,26,3
83,27,5
84,27,10
85,27,2
86,27,3
87,28,7
88,28,20
89,28,10
90,29,19
91,29,20
92,29,21
93,29,25
94,30,9
95,30,13
96,30,5
97,31,11
98,31,12
99,31,59
100,32,39
101,32,17
102,33,20
103,33,56
104,33,22
105,34,12
106,34,8
107,34,61
108,7,7
109,7,16
110,7,15
111,7,18
112,8,19
113,8,15
114,8,2
115,9,10
116,9,20
117,9,22
118,9,9
119,10,3
120,10,2
121,10,61
122,11,4
123,11,10
124,11,56
125,12,21
126,12,22
127,12,24
128,12,25
129,13,7
130,13,16
131,13,44
132,13,50
133,14,13
134,14,14
135,14,16
136,14,19
137,15,13
138,15,16
139,15,19
140,16,12
141,16,64
142,17,71
143,17,5